question,answer,tokens_present,document
What is the duration of the agreement?,The agreement is non-exclusive and does not have a specified duration. Either party may terminate the agreement with ten (10) days' prior written notice to the other.,"['non-exclusive', 'does', 'not', 'have', 'specified', 'duration', 'either', 'party', 'may', 'terminate', 'agreement', 'ten', 'days', 'prior', 'written', 'notice', 'other']",Broker_Agreement.pdf
What happens in the event of termination of the agreement?,"In the event of termination, Seller shall fully cooperate with and assist LSB in obtaining the documentation necessary to complete the processing and full resolution of all matters relating to registered applications eligible for closing and all closed loans.","['termination', 'cooperate', 'assist', 'documentation', 'processing', 'resolution', 'applications', 'closing', 'loans']",Broker_Agreement.pdf
Is Seller required to submit or refer Loans for purchase by LSB?,"No, Seller is under no obligation to submit or refer Loans for purchase by LSB. LSB is also under no obligation to purchase Loans from Seller.",['No'],Broker_Agreement.pdf
What is the governing law for the agreement?,The agreement shall be governed by the laws of the State of Ohio and applicable Federal law.,"['Ohio', 'Federal']",Broker_Agreement.pdf
"What is the definition of ""LSB"" in the agreement?","LSB refers to Loan Servicing Bureau, the party that enters into the agreement with Seller for the purchase of loans.","['LSB', 'Loan Servicing Bureau']",Broker_Agreement.pdf
"What is the definition of ""Seller"" in the agreement?",Seller refers to the party that enters into the agreement with LSB for the referral of loans for purchase.,"['Seller', 'LSB', 'agreement', 'loans', 'purchase']",Broker_Agreement.pdf
What is the governing law for this agreement?,The governing law for this agreement is the laws of the State of Ohio and applicable Federal law.,"['laws', 'State', 'Ohio', 'Federal']",Broker_Agreement.pdf
Where shall any action or proceeding brought with respect to this agreement be brought?,"Any action or proceeding brought with respect to this agreement shall be brought in Clinton County, Ohio.","['Clinton County, Ohio']",Broker_Agreement.pdf
How shall notices be sent between the parties?,"Notices shall be sent in writing and shall be sent by registered, certified or first-class mail, postage fully prepaid.","['shall', 'sent', 'writing', 'registered', 'certified', 'first-class', 'mail', 'postage', 'prepaid']",Broker_Agreement.pdf
What is the address for notices to be sent to LSB?,"Notices to be sent to LSB shall be sent to Liberty Savings Bank, FSB, 3435 Airborne Rd, STE. B, Wilmington, OH 45177, Attention: Broker Approval.","['Liberty Savings Bank', 'FSB', '3435 Airborne Rd', 'STE. B', 'Wilmington', 'OH', '45177', 'Attention: Broker Approval']",Broker_Agreement.pdf
What is the email address for notices to be sent to Seller?,The email address for notices to be sent to Seller shall be designated in writing by Seller from time to time.,"['shall', 'designated', 'in', 'writing', 'by', 'Seller', 'from', 'time', 'to', 'time']",Broker_Agreement.pdf
What are the requirements for adverse action notices?,Seller agrees to provide adverse action notices as appropriate in accordance with the requirements of the Federal Equal Credit Opportunity Act and Federal Reserve Regulation B.,"['Federal Equal Credit Opportunity Act', 'Federal Reserve Regulation B']",Broker_Agreement.pdf
Can this agreement be modified by Seller?,"No, this agreement cannot be modified by Seller.",['No'],Broker_Agreement.pdf
Can LSB change the terms and conditions of this agreement?,"Yes, LSB may change the terms and conditions of this agreement with 10 days written notice to Seller.",['Yes'],Broker_Agreement.pdf
What happens in the event of a merger between Seller and another entity?,"In the event of a merger by and between Seller and another entity, the terms and conditions of this agreement shall remain in effect for its successors and assigns.","['merger', 'Seller', 'entity', 'successors', 'assigns']",Broker_Agreement.pdf
Can LSB contact loan mortgagors prior to the purchase of a loan?,"Yes, LSB may contact any loan mortgagor if LSB considers such contact reasonably necessary and appropriate for processing the Loan purchase request.",['Yes'],Broker_Agreement.pdf
What is the purpose of the agreement between Seller and LSB?,The purpose of the agreement between Seller and LSB is to outline the terms and conditions for the purchase and sale of mortgage loans between the two parties.,"['outline', 'terms', 'conditions', 'purchase', 'sale', 'mortgage', 'loans']",Broker_Agreement.pdf
What is the process for purchasing loans from Seller by LSB?,LSB may purchase loans from Seller with or without a complete review of the corresponding loan documentation. Seller will deliver loan documentation to LSB in accordance with the procedures and requirements set forth in the Manual.,"['LSB', 'Seller', 'loans', 'documentation', 'Manual']",Broker_Agreement.pdf
How is the purchase price of a loan determined?,The purchase price of a loan is agreed upon by LSB and Seller in accordance with the procedures set forth in the Manual. LSB may offset against the purchase price any outstanding fees or other amounts owing from Seller to LSB in connection with the particular purchase or other transactions.,"['agreed', 'upon', 'procedures', 'set', 'forth', 'manual', 'offset', 'outstanding', 'fees', 'other', 'amounts', 'owing', 'connection', 'particular', 'purchase', 'transactions']",Broker_Agreement.pdf
What happens if LSB determines that a loan was originated in violation of the agreement or applicable law?,"If LSB determines that a loan was originated in violation of the agreement or applicable law, Seller must immediately correct or cure such defect within the time prescribed by LSB. If Seller fails to do so, LSB may repurchase the defective loan from Seller at the price required by LSB.","['LSB', 'Seller', 'loan', 'defect', 'correction', 'repurchase']",Broker_Agreement.pdf
Can Seller refinance a loan that has been purchased by LSB?,"No, Seller cannot refinance a loan that has been purchased by LSB. The early payoff provision in the agreement does not apply if the loan is refinanced by a third party other than the original seller.",['No'],Broker_Agreement.pdf
What is the recapture period for loans exceeding FNMA/FHLMC conforming loan limits?,The recapture period for loans exceeding FNMA/FHLMC conforming loan limits is within twelve (12) months after the loan close date.,"['twelve', 'months']",Broker_Agreement.pdf
What is the recapture period for all other loans?,The recapture period for all other loans is one hundred-fifty (150) days after the loan close date.,"['150', 'days']",Broker_Agreement.pdf
What happens if LSB terminates the agreement?,"In the event of termination, LSB will process loan registrations made on or before the termination date provided that all such registrations comply in all material respects with LSB’s loan origination and/or closing requirements related to each such loan registration and that Seller is in compliance with Section 1 (Representations and Warranties) of the agreement.","['termination', 'loan', 'registrations', 'compliance']",Broker_Agreement.pdf
What is the cure or repurchase provision in the agreement?,"The cure or repurchase provision in the agreement states that if LSB determines that a loan purchased pursuant to the agreement was originated in violation of any term or condition of the agreement or the Manual, or was capable of being rescinded by the applicable mortgagor(s), or must be repurchased from any secondary market investor due to a breach by Seller of any representation or warranty contained in the agreement and/or the Manual, Seller must, upon notification by LSB and/or such secondary market investor, immediately correct or cure such defect within the time prescribed by LSB and/or any such secondary market investor, or repurchase such defective loan from LSB or such secondary market investor at the price required by LSB or such secondary market investor.","['LSB', 'Seller', 'defect', 'loan', 'agreement', 'Manual', 'mortgagor', 'secondary market investor', 'breach', 'representation', 'warranty', 'defective', 'repurchase']",Broker_Agreement.pdf
How must Seller pay the Repurchase Price to LSB or such secondary market investor?,Seller must pay the Repurchase Price to LSB or such secondary market investor by cashier’s check or wire transfer of immediately available federal funds within ten (10) business days of Seller’s receipt of such repurchase request.,"['cashier’s check', 'wire transfer', 'federal funds', 'business days', 'repurchase request']",Broker_Agreement.pdf
What is the timeframe for Seller to pay the Repurchase Price to LSB and/or secondary market investor upon request?,Within ten (10) business days of Seller’s receipt of the repurchase request.,"['ten', 'business', 'days']",Broker_Agreement.pdf
What is the method of payment for the Repurchase Price?,Cashier’s check or wire transfer of immediately available federal funds.,"['Cashier’s check', 'wire transfer', 'immediately available', 'federal funds']",Broker_Agreement.pdf
What is the process for LSB to release the related Loan file and execute instruments of transfer or assignment upon receipt of the Repurchase Price?,"LSB shall release the related Loan file and execute such instruments of transfer or assignment, in each case without recourse or warranty, as shall be necessary to vest in Seller or its designee title to the repurchased Loan.","['LSB', 'release', 'Loan', 'file', 'execute', 'instruments', 'transfer', 'assignment', 'repurchased', 'Loan']",Broker_Agreement.pdf
"Does this Agreement eliminate, diminish, or impair Seller’s indemnification obligations contained in Section 8?","No, the provisions of this Section do not, in any way, eliminate, diminish, or impair Seller’s indemnification obligations contained in Section 8.",['No'],Broker_Agreement.pdf
Is LSB allowed to solicit bank customers for all bank products and services?,"Yes, LSB, in the normal course of business, will solicit bank customers for all bank products and services, and there is nothing in this Agreement or relationship with Seller that precludes LSB from doing so.",['Yes'],Broker_Agreement.pdf
"What laws, rules, regulations, and/or provisions must Seller agree to be and remain in compliance with?","Seller must agree to be and remain in compliance with all laws, rules, regulations, and/or provisions of (i) the Dodd/Frank Wall Street Reform and Consumer Protection Act, and (ii) the Federal Reserve Board, in each case as the same may be enacted and/or amended from time to time.","['Dodd/Frank Wall Street Reform and Consumer Protection Act', 'Federal Reserve Board']",Broker_Agreement.pdf
What are the fees to be paid to Seller by LSB?,The fees to be paid to Seller by LSB are: Clearly designate the appropriate fee and minimum option:  Opt Out of Minimum $1000  $1500.,"['$1000', '$1500']",Broker_Agreement.pdf
How often can the fees be adjusted?,"The fees can be adjusted prior to the end of each quarter on a go-forward basis by Seller completing, executing, and delivering to LSB a Broker Comp Change Form, substantially in the form as attached hereto as Exhibit “A”.","['prior', 'quarter', 'go-forward', 'basis', 'Seller', 'completing', 'executing', 'delivering', 'Broker', 'Comp', 'Change', 'Form']",Broker_Agreement.pdf
What is the required notice period for Seller to deliver the Broker Comp Change Form to LSB?,Seller agrees to deliver the Broker Comp Change Form to LSB ten (10) business days prior to the end of the current calendar quarter to be effective for the subsequent quarter.,"['ten', 'business', 'days', 'prior', 'end', 'current', 'calendar', 'quarter', 'effective', 'subsequent', 'quarter']",Broker_Agreement.pdf
"Can the text of this Agreement be changed in any manner without the prior written consent of Liberty Savings Bank, FSB?","No, the text of this Agreement may not be changed in any manner whatsoever without the prior written consent of Liberty Savings Bank, FSB, which may be withheld for any reason.",['No'],Broker_Agreement.pdf
